iter	Passed	Remaining
321	739	1557
322	741	1553
323	742	1549
324	743	1544
325	745	1540
326	746	1536
327	747	1532
328	749	1528
329	750	1524
330	752	1520
331	754	1517
332	755	1513
333	757	1509
334	758	1505
335	759	1501
336	761	1497
337	762	1493
338	764	1489
339	765	1485
340	768	1485
341	771	1483
342	772	1479
343	774	1476
344	775	1472
345	776	1468
346	778	1464
347	779	1460
348	780	1456
349	782	1453
350	783	1449
351	785	1445
352	786	1441
353	787	1437
354	789	1434
355	790	1430
356	792	1426
357	794	1423
358	796	1421
359	797	1418
360	799	1414
361	800	1411
362	802	1408
363	803	1404
364	805	1400
365	806	1397
366	808	1394
367	811	1394
368	813	1391
369	815	1388
370	816	1384
371	818	1381
372	819	1377
373	821	1374
374	822	1371
375	825	1369
376	826	1366
377	829	1364
378	831	1362
379	832	1358
380	834	1355
381	835	1351
382	837	1348
383	838	1344
384	840	1342
385	841	1339
386	843	1335
387	844	1332
388	846	1329
389	847	1325
390	848	1322
391	850	1318
392	851	1314
393	852	1311
394	856	1311
395	858	1309
396	859	1306
397	861	1303
398	863	1301
399	865	1298
400	867	1295
401	869	1293
402	871	1290
403	872	1287
404	873	1283
405	875	1280
406	876	1276
407	877	1273
408	879	1270
409	880	1266
410	881	1263
411	883	1261
412	885	1258
413	886	1255
414	888	1251
415	889	1248
416	890	1245
417	891	1241
418	893	1238
419	894	1235
420	895	1231
421	897	1229
422	899	1226
423	900	1223
424	902	1220
425	903	1217
426	904	1214
427	906	1211
428	908	1208
429	909	1205
430	910	1202
431	913	1200
432	914	1197
433	915	1194
434	916	1190
435	917	1187
436	918	1183
437	920	1180
438	921	1177
439	922	1174
440	924	1171
441	925	1168
442	926	1165
443	928	1162
444	929	1159
445	930	1155
446	931	1152
447	932	1149
448	934	1146
449	935	1143
450	936	1140
451	937	1136
452	939	1133
453	940	1130
454	941	1127
